created_at,sale_price,name,cost,category,retail_price
2020-11-14 13:30:35 UTC,16.190000534057617,2XU Men's Swimmers Compression Long Sleeve Top,92.6525625942932,Swim,150.41000366210938
2021-07-25 22:36:14 UTC,76,TYR Sport Men's Square Leg Short Swim Suit,24.71966119429112,Swim,38.9900016784668
2022-06-01 23:14:25 UTC,62.360000610351562,TYR Sport Men's Solid Durafast Jammer Swim Suit,15.897600255095959,Swim,27.600000381469727
2020-11-19 03:43:03 UTC,45.349998474121087,TYR Sport Men's Swim Short/Resistance Short Swim Suit,17.850000048056245,Swim,30
2022-01-04 00:59:14 UTC,32.9900016784668,TYR Alliance Team Splice Jammer,29.408000515669585,Swim,45.950000762939446
2022-05-10 12:50:41 UTC,60,TYR Sport Men's 4-Inch Nylon Trainer-A Swim Suit,15.655589914467036,Swim,26.489999771118164
2022-02-21 05:52:38 UTC,49.5,TYR Sport Men's Solid Jammer Swim Suit,22.571750484637921,Swim,39.950000762939446
2022-05-30 04:21:00 UTC,9.9499998092651367,TYR Sport Men's Poly Mesh Trainer Swim Suit,22.824000120162964,Swim,36
2022-05-18 01:49:55 UTC,25,TYR Sport Men's Alliance Durafast Splice Square Leg Swim Suit,24.353911066282688,Swim,39.9900016784668
2020-06-08 01:24:54 UTC,9.9899997711181641,TYR Sport Men's Solid Racer Swim Suit,19.317550501902403,Swim,33.950000762939453
2022-05-31 09:53:28 UTC,109,TYR Sport Men's 8-Inch Nylon Team Trainer Swim Suit,16.436200169558823,Swim,26.510000228881839
2021-07-30 12:58:12 UTC,65,TYR Sport Men's Firerock Splice Jammer Swim Suit,27.065919520119127,Swim,44.959999084472656
2022-05-28 07:33:08 UTC,7.9899997711181632,TYR Sport Men's Solid Durafast Racer Swim Suit,14.894039896076579,Swim,24.989999771118164
2021-05-17 04:23:57 UTC,13.5,TYR Sport Men's Firerock Splice Racer Swim Suit,15.075000037904829,Swim,25
2021-01-17 15:06:08 UTC,31.979999542236328,TYR Sport Men's Alliance Durafast Splice Racer Swim Suit,16.935750499164687,Swim,28.950000762939453
2020-07-15 07:16:02 UTC,29.989999771118164,TYR Sport Men's Universe Racer,21.698000088334084,Swim,38
2021-08-10 14:48:41 UTC,139.99000549316406,TYR Sport Men's Universe Splice Jammer,24.840000048279759,Swim,40
2021-04-18 03:22:49 UTC,31.899999618530277,TYR Sport Men's Great White Epic Splice Jammer Swim Suit,30.940000083297488,Swim,52
2019-08-29 05:31:14 UTC,26,Onia Men's Calder 7.5 Swim Shorts,73.579999953508363,Swim,130
2022-06-04 00:35:17 UTC,19.170000076293945,Onia Men's Spanish Calder Swim Shorts,93.670000229030848,Swim,145
2022-04-01 15:24:36 UTC,69.989997863769531,2EROS - S03-07 - ICON2 Low Rise Quick Dry Swim Shorts - Black Mystic Pink or Blue,31.80799999833107,Swim,56
2021-06-02 15:50:10 UTC,25.5,Matix Men's Runway Boardshort,23.119791052526839,Swim,40.4900016784668
2021-06-20 08:14:39 UTC,85,Alki'i Men's Boardshorts - Isla Palms,10.652729893707184,Swim,16.989999771118164
2021-01-04 13:20:16 UTC,25,Alki'i Men's Hybrid Boardshorts - Surfer Postcard Print,10.958549908068775,Swim,16.989999771118164
2021-11-29 15:54:54 UTC,36.950000762939446,Hurley Young Men's Hurley One and Only Solid Boardshort,23.739500060735736,Swim,39.5
2021-10-20 03:19:45 UTC,15,Hurley Men's Hurley Puerto Rico Plaid Boardshort,30.500000063329932,Swim,50
2021-12-18 01:02:06 UTC,22.950000762939453,Hurley Men's P60 Kings Road Boardshort,41.86000008136034,Swim,65
2022-01-07 14:14:15 UTC,24.989999771118164,Hurley Men's Sets Supersuede Boardshort,27.585000079125169,Swim,45
